dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2022-06-30,2022-10-14,2022-06-30,2022-Q4,,,2024-10-25,0.000000,226189.000000,,,,,0.013000,,113064.000000,113064.000000,0.000000,-50.000000,,12.972000,200000.000000,200000.000000,0.000000,200000.000000,0.000000,,0.000000,,0.000000,-50.000000,,,,-50.000000,-50.000000,0.000000,0.000000,0.000000,16189.000000,,16189.000000,,,,,,1.000000,0.000000,,0.000000,0.000000,103125.000000,,0.000000,0.000000,,,210000.000000,210000.000000,0.000000,,,,,,,,,,,-50.000000,-50.000000,-50.000000,0.000000,0.000000,,50.000000,-50.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-8811.000000,0.000000,0.000000,0.000000,,,,,,50.000000,1.000000,6545500.000000,1250000.000000,1250000.000000,0.000000,226189.000000,0.000000,0.000000,0.000000,0.181000
ARQ,2022-09-30,2022-12-23,2022-09-30,2023-Q1,,75787251.000000,2024-10-25,0.000000,216157.000000,,,,,0.013000,,35032.000000,35032.000000,0.000000,-454.000000,,12.737000,200000.000000,200000.000000,0.000000,200000.000000,0.000000,,0.000000,0.000000,0.000000,-454.000000,,,,-454.000000,-454.000000,0.000000,0.000000,0.000000,15735.000000,,15735.000000,75952219.000000,,,,,1.000000,0.000000,,0.000000,0.000000,180703.000000,,0.000000,0.000000,,,200422.000000,200422.000000,0.000000,,,,,,,,,,,-454.000000,-454.000000,-454.000000,0.000000,0.000000,,454.000000,-454.000000,0.000000,,4816.476000,,,0.000000,0.000000,10.090000,,,0.000000,-9265.000000,0.000000,0.000000,0.000000,,,,,,454.000000,1.000000,7511125.000000,1250000.000000,1250000.000000,0.000000,216157.000000,0.000000,0.000000,0.000000,0.173000
ARQ,2022-12-31,2023-04-14,2022-12-31,2022-Q4,366895.000000,77064142.000000,2024-10-25,0.000000,59305317.000000,,472282.000000,58833035.000000,,1.810000,0.000000,293569.000000,293569.000000,0.000000,131394.000000,4.481000,0.585000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,186926.000000,186926.000000,,186926.000000,186926.000000,186926.000000,-0.720000,-0.720000,-0.720000,3622903.000000,,3622903.000000,76770574.000000,422.000000,422.399000,-269139.000000,-0.134000,1.000000,0.000000,,0.000000,0.000000,58906361.000000,,0.000000,58778053.000000,0.000000,58778053.000000,2117887.000000,105387.000000,2012500.000000,258537.000000,0.000000,60161250.000000,-200000.000000,0.000000,59033926.000000,0.000000,0.000000,-269139.000000,0.000000,131394.000000,131394.000000,131394.000000,0.000000,0.000000,,84877.000000,-84877.000000,0.000000,0.000000,21.271000,610.569000,-14.250000,0.000000,0.000000,10.260000,,,0.000000,122129.000000,0.000000,0.000000,0.000000,,,,,0.000000,77739.000000,1.000000,7511125.000000,2002087.000000,2002087.000000,0.000000,59305317.000000,0.000000,55532.000000,62670.000000,29.622000
ARQ,2023-03-31,2023-05-18,2023-03-31,2023-Q1,57326.000000,77477254.000000,2024-10-25,0.000000,59711606.000000,,272049.000000,59439557.000000,,0.174000,0.000000,57308.000000,57308.000000,0.000000,296953.000000,1.267000,1.707000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,425397.000000,425397.000000,,425397.000000,425397.000000,425397.000000,-0.310000,-0.310000,-0.310000,1304508.000000,,1304508.000000,77419946.000000,127.000000,,-243399.000000,-0.032000,1.000000,0.000000,,0.000000,0.000000,59439575.000000,,0.000000,59394552.000000,0.000000,59394552.000000,2227223.000000,214723.000000,2012500.000000,-236261.000000,0.000000,0.000000,0.000000,0.000000,7138.000000,0.000000,0.000000,-243399.000000,0.000000,296953.000000,296953.000000,296953.000000,0.000000,0.000000,,198240.000000,-198240.000000,0.000000,0.000000,59.392000,181.088000,-10.015000,0.000000,0.000000,10.315000,,,0.000000,419082.000000,0.000000,0.000000,0.000000,,,,,0.000000,186240.000000,1.000000,7511125.000000,7511125.000000,7511125.000000,0.000000,59711606.000000,0.000000,128444.000000,195976.000000,7.950000
ARQ,2023-06-30,2023-08-18,2023-06-30,2023-Q2,-216510.000000,52708084.000000,2024-10-25,0.000000,60429052.000000,,326345.000000,60102707.000000,,-0.147000,0.000000,150444.000000,150444.000000,0.000000,389314.000000,0.601000,-2.322000,150000.000000,150000.000000,0.000000,150000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,535485.000000,535485.000000,,535485.000000,535485.000000,535485.000000,-0.320000,-0.320000,-0.320000,-1100597.000000,,-1100597.000000,52707640.000000,46.000000,,-56864.000000,-0.008000,1.000000,0.000000,,0.000000,0.000000,59885753.000000,,0.000000,60102707.000000,0.000000,60102707.000000,2555355.000000,542855.000000,2012500.000000,93136.000000,0.000000,0.000000,150000.000000,0.000000,150000.000000,0.000000,0.000000,-56864.000000,0.000000,389314.000000,389314.000000,389314.000000,0.000000,0.000000,,172670.000000,-172670.000000,0.000000,0.000000,-47.890000,64.498000,-7.807000,0.000000,0.000000,10.540000,,,0.000000,-1100773.000000,0.000000,0.000000,0.000000,,,,,0.000000,160570.000000,1.000000,5000767.000000,7511125.000000,7511125.000000,0.000000,60429052.000000,0.000000,146171.000000,354247.000000,8.045000
ARQ,2023-09-30,2023-11-15,2023-09-30,2023-Q3,-582435.000000,52958123.000000,2024-10-25,0.000000,35022237.000000,,730585.000000,34291652.000000,,-0.417000,0.000000,613763.000000,613763.000000,0.000000,330363.000000,0.556000,-1.315000,500000.000000,500000.000000,0.000000,500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,466682.000000,466682.000000,,466682.000000,466682.000000,466682.000000,-0.190000,-0.190000,-0.190000,-2529669.000000,,-2529669.000000,52844360.000000,33.000000,32.731000,-111131.000000,-0.018000,1.000000,0.000000,,0.000000,0.000000,33595454.000000,,0.000000,34291652.000000,0.000000,34291652.000000,3325520.000000,1313020.000000,2012500.000000,463319.000000,0.000000,-26244894.000000,350000.000000,0.000000,-25460444.000000,0.000000,0.000000,-111131.000000,0.000000,330363.000000,330363.000000,330363.000000,0.000000,0.000000,,191608.000000,-191608.000000,0.000000,0.000000,-20.935000,46.130000,-6.877000,0.000000,0.000000,10.590000,,,0.000000,-2529845.000000,0.000000,0.000000,0.000000,,,,,0.000000,182458.000000,1.000000,5000767.000000,6064941.000000,6064941.000000,0.000000,35022237.000000,0.000000,136319.000000,762165.000000,5.775000
ARQ,2023-12-31,2024-06-12,2023-12-31,2023-Q4,-3940848.000000,177520498.000000,2024-10-25,341716.000000,9675257.000000,,3149489.000000,6525768.000000,,-0.024000,0.000000,1121803.000000,1121803.000000,1378127.000000,251021.000000,0.444000,-7.975000,2033103.000000,1582220.000000,450883.000000,2033103.000000,7249961.000000,569514.000000,0.000000,0.000000,0.000000,89479.000000,658993.000000,0.158000,658993.000000,89479.000000,69400.000000,,,,-1387139.000000,,-1387139.000000,178431798.000000,259.000000,86.743000,342787.000000,0.006000,1.000000,2779930.000000,0.669000,79940.000000,20079.000000,3416280.000000,,1325975.000000,0.000000,0.000000,0.000000,11062396.000000,7090337.000000,3972059.000000,-2532511.000000,0.000000,26244894.000000,174089.000000,0.000000,25413802.000000,0.000000,0.000000,342787.000000,-134251.000000,251021.000000,251021.000000,251021.000000,0.000000,0.000000,0.060000,2130850.000000,649080.000000,733079.000000,,-127.976000,243.176000,,4606257.000000,0.000000,3.110000,16.985000,16.985000,68618.000000,-3398283.000000,4158057.000000,4158057.000000,0.000000,,,,,0.000000,2140000.000000,1.000000,57080546.000000,57080546.000000,,0.073000,9595317.000000,515885.000000,-181621.000000,0.000000,0.168000
ARQ,2024-06-30,2024-10-25,2024-06-30,2024-Q4,-5118408.000000,226609768.000000,2024-10-25,313612.000000,8967937.000000,,1955795.000000,7012142.000000,,-0.088000,,748099.000000,748099.000000,,,0.276000,-2.959000,1901310.000000,190023.000000,1711287.000000,1901310.000000,5152925.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-4578797.000000,,-4578797.000000,227762979.000000,343.000000,126.743000,,,1.000000,,,2362417.000000,,684528.000000,,600876.000000,0.000000,0.000000,0.000000,13546734.000000,7074203.000000,6472531.000000,,,,,,,,,,,,,,,,,,,430510.000000,,-49.491000,353.810000,330.833000,4146760.000000,,3.970000,30.943000,28.179000,64348.000000,-4898117.000000,,,,,,,,,,1.000000,57080546.000000,51980418.000000,,,6605520.000000,502965.000000,,0.000000,0.127000
ART,2022-06-30,2022-10-14,2022-06-30,2022-Q4,,,2024-10-25,0.000000,226189.000000,,,,,0.013000,,113064.000000,113064.000000,,,,12.972000,200000.000000,200000.000000,0.000000,200000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,16189.000000,,16189.000000,,,,,,1.000000,,,0.000000,,103125.000000,,0.000000,0.000000,,,210000.000000,210000.000000,0.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,0.000000,,,,,0.000000,-8811.000000,,,,,,,,,,1.000000,6545500.000000,1250000.000000,,,226189.000000,0.000000,,0.000000,0.181000
ART,2022-09-30,2022-12-23,2022-09-30,2023-Q1,,75787251.000000,2024-10-25,0.000000,216157.000000,,,,,0.013000,,35032.000000,35032.000000,,,,12.737000,200000.000000,200000.000000,0.000000,200000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,15735.000000,,15735.000000,75952219.000000,,,,,1.000000,,,0.000000,,180703.000000,,0.000000,0.000000,,,200422.000000,200422.000000,0.000000,,,,,,,,,,,,,,,,,,,0.000000,,4816.476000,,,0.000000,,10.090000,,,0.000000,-9265.000000,,,,,,,,,,1.000000,7511125.000000,1250000.000000,,,216157.000000,0.000000,,0.000000,0.173000
ART,2022-12-31,2023-04-14,2022-12-31,2022-Q4,366895.000000,77064142.000000,2024-10-25,0.000000,59305317.000000,,472282.000000,58833035.000000,,1.810000,0.000000,293569.000000,293569.000000,0.000000,126217.000000,4.481000,0.585000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,181749.000000,181749.000000,,181749.000000,181749.000000,181749.000000,-0.720000,-0.720000,-0.720000,3622903.000000,,3622903.000000,76770574.000000,422.000000,422.399000,-273894.000000,-0.137000,1.000000,0.000000,,0.000000,0.000000,58906361.000000,,0.000000,58778053.000000,0.000000,58778053.000000,2117887.000000,105387.000000,2012500.000000,288617.000000,0.000000,60186250.000000,-9040.000000,0.000000,59068761.000000,-58506250.000000,-58506250.000000,-273894.000000,0.000000,126217.000000,126217.000000,126217.000000,0.000000,0.000000,,90054.000000,-90054.000000,0.000000,0.000000,21.271000,610.569000,-14.250000,0.000000,0.000000,10.260000,,,0.000000,122129.000000,0.000000,0.000000,0.000000,,,,,0.000000,82691.000000,1.000000,7511125.000000,2002087.000000,2002087.000000,0.000000,59305317.000000,0.000000,55532.000000,62670.000000,29.622000
ART,2023-03-31,2023-05-18,2023-03-31,2023-Q1,57326.000000,77477254.000000,2024-10-25,0.000000,59711606.000000,29864817.000000,272049.000000,59439557.000000,0.000000,0.174000,,57308.000000,57308.000000,0.000000,427843.000000,1.267000,1.707000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,611819.000000,,,,611819.000000,611819.000000,-1.030000,-1.030000,-1.030000,1304508.000000,1239834.000000,1304508.000000,77419946.000000,127.000000,,,,1.000000,0.000000,,0.000000,0.000000,59439575.000000,29657441.000000,0.000000,59394552.000000,0.000000,59394552.000000,2227223.000000,214723.000000,2012500.000000,,,,,,,,,,,427843.000000,427843.000000,427843.000000,0.000000,0.000000,,283621.000000,-283621.000000,0.000000,0.000000,59.392000,181.088000,-10.015000,0.000000,0.000000,10.315000,,,0.000000,419082.000000,0.000000,0.000000,0.000000,0.014000,0.345000,0.021000,,,264483.000000,1.000000,7511125.000000,7511125.000000,7511125.000000,0.000000,59711606.000000,0.000000,183976.000000,195976.000000,7.950000
ART,2023-06-30,2023-08-18,2023-06-30,2023-Q2,-216510.000000,52708084.000000,2024-10-25,0.000000,60429052.000000,44915533.000000,326345.000000,60102707.000000,0.000000,-0.147000,,150444.000000,150444.000000,0.000000,817207.000000,0.601000,-2.322000,150000.000000,150000.000000,0.000000,150000.000000,0.000000,,0.000000,0.000000,0.000000,1147354.000000,,,,1147354.000000,1147354.000000,-1.350000,-1.350000,-1.350000,-1100597.000000,960637.000000,-1100597.000000,52707640.000000,46.000000,,,,1.000000,0.000000,,0.000000,0.000000,59885753.000000,44603098.000000,0.000000,60102707.000000,0.000000,60102707.000000,2555355.000000,542855.000000,2012500.000000,,,,,,,,,,,817207.000000,817207.000000,817207.000000,0.000000,0.000000,,456241.000000,-456241.000000,0.000000,0.000000,-47.890000,64.498000,-7.807000,0.000000,0.000000,10.540000,,,0.000000,-1100773.000000,0.000000,0.000000,0.000000,0.018000,0.851000,0.026000,,,425003.000000,1.000000,5000767.000000,7511125.000000,7511125.000000,0.000000,60429052.000000,0.000000,330147.000000,354247.000000,8.045000
ART,2023-09-30,2023-11-15,2023-09-30,2023-Q3,-582435.000000,52958123.000000,2024-10-25,0.000000,35022237.000000,53617053.000000,730585.000000,34291652.000000,0.000000,-0.417000,0.000000,613763.000000,613763.000000,0.000000,1148024.000000,0.556000,-1.315000,500000.000000,500000.000000,0.000000,500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1614490.000000,1614490.000000,,1614490.000000,1614490.000000,1614490.000000,-1.540000,-1.540000,-1.540000,-2529669.000000,324286.000000,-2529669.000000,52844360.000000,33.000000,32.731000,-680533.000000,-0.112000,1.000000,0.000000,,0.000000,0.000000,33595454.000000,52956786.000000,0.000000,34291652.000000,0.000000,34291652.000000,3325520.000000,1313020.000000,2012500.000000,578731.000000,0.000000,33916356.000000,300000.000000,0.000000,33730620.000000,0.000000,0.000000,-680533.000000,0.000000,1148024.000000,1148024.000000,1148024.000000,0.000000,0.000000,,647395.000000,-647395.000000,0.000000,0.000000,-20.935000,46.130000,-6.877000,0.000000,0.000000,10.590000,,,0.000000,-2529845.000000,0.000000,0.000000,0.000000,0.021000,3.540000,0.030000,,0.000000,607007.000000,1.000000,5000767.000000,6064941.000000,6064941.000000,0.000000,35022237.000000,0.000000,466466.000000,762165.000000,5.775000
ART,2023-12-31,2024-06-12,2023-12-31,2023-Q4,-3940848.000000,177520498.000000,2024-10-25,341716.000000,9675257.000000,41209538.000000,3149489.000000,6525768.000000,0.254000,-0.024000,0.000000,1121803.000000,1121803.000000,4042051.000000,730009.000000,0.444000,-7.975000,2033103.000000,1582220.000000,450883.000000,2033103.000000,7249961.000000,1368377.000000,0.000000,0.000000,0.000000,688635.000000,2057012.000000,0.197000,2057012.000000,688635.000000,657941.000000,,,,-1387139.000000,-928224.000000,-1387139.000000,178431798.000000,259.000000,86.743000,9319508.000000,0.163000,1.000000,6409346.000000,0.613000,79940.000000,30694.000000,3416280.000000,39084266.000000,1325975.000000,0.000000,0.000000,0.000000,11062396.000000,7090337.000000,3972059.000000,577763.000000,0.000000,-60161250.000000,264966.000000,0.000000,-60224646.000000,0.000000,0.000000,9319508.000000,-279157.000000,730009.000000,730009.000000,730009.000000,0.000000,0.000000,0.070000,5195707.000000,1213639.000000,733079.000000,,-127.976000,243.176000,,4606257.000000,0.000000,3.110000,16.985000,16.985000,68618.000000,-3398283.000000,10451397.000000,10451397.000000,0.000000,0.018000,-0.786000,0.018000,0.066000,0.000000,5202845.000000,1.000000,57080546.000000,57080546.000000,,0.183000,9595317.000000,515885.000000,-72068.000000,0.000000,0.168000
ART,2024-06-30,2024-10-25,2024-06-30,2024-Q4,-5118408.000000,226609768.000000,2024-10-25,313612.000000,8967937.000000,34698494.000000,1955795.000000,7012142.000000,0.211000,-0.088000,-225032.000000,748099.000000,748099.000000,2422262.000000,640485.000000,0.276000,-2.959000,1901310.000000,190023.000000,1711287.000000,1901310.000000,5152925.000000,1132629.000000,0.000000,0.000000,0.000000,664411.000000,1797040.000000,0.245000,1797040.000000,664411.000000,589019.000000,0.012000,0.012000,0.012000,-4578797.000000,-2839697.000000,-4578797.000000,227762979.000000,343.000000,126.743000,-1738104.000000,-0.033000,1.000000,4901094.000000,0.669000,2362417.000000,75392.000000,684528.000000,30285140.000000,600876.000000,0.000000,0.000000,0.000000,13546734.000000,7074203.000000,6472531.000000,-2442896.000000,317722.000000,0.000000,3028830.000000,0.000000,1560940.000000,-2503623.000000,0.000000,-1513072.000000,12859.000000,640485.000000,640485.000000,640485.000000,0.000000,0.000000,0.087000,4927425.000000,-26331.000000,430510.000000,0.000000,-49.491000,353.810000,330.833000,4146760.000000,0.000000,3.970000,30.943000,28.179000,64348.000000,-4898117.000000,7323356.000000,7323356.000000,89968.000000,0.018000,-0.226000,0.022000,0.091000,0.000000,4837457.000000,1.000000,57080546.000000,51980418.000000,51980418.000000,0.141000,6605520.000000,502965.000000,-51466.000000,0.000000,0.127000
